
1000,7,113,2012-11-05,0,1.0.0
1000,63,212,2012-11-05,1,1.6.8
1001,16,906,2011-07-25,0,3.2.0
1001,18,1322,2011-02-16,0,1.0.0
1001,22,624,2009-01-09,0,1.0.0
1001,32,896,2011-11-08,0,3.2.1
1001,33,624,2010-05-19,1,1.0.0
1001,38,839,2010-09-28,1,1.0.0
1001,47,119,2011-02-16,0,1.0.0
1002,12,683,2013-12-11,0,2.1.4
1002,24,1320,2013-12-11,0,0.7.1
1002,25,1404,2013-12-11,0,1.0.0
1002,30,266,2008-09-28,0,1.0.0
1002,54,30,2013-09-06,1,1.0.0
1002,68,772,2013-12-11,1,1.0.0
1002,100,55,2015-10-15,0,2.4.7
1002,102,183,2015-09-20,0,1.0.0
1002,105,69,2015-09-20,0,1.5.9
1004,3,669,2011-04-07,0,1.0.0
1004,15,748,2017-05-31,0,0.6.8
1004,43,322,2014-11-22,0,1.0.0
1004,45,1220,2017-07-26,1,3.8.7
1004,46,1234,2011-04-07,0,0.8.2
1004,49,716,2014-10-02,1,1.0.0
1004,54,60,2017-07-26,0,1.0.0
1004,58,141,2017-05-31,1,1.0.0
1004,59,1330,2011-04-07,1,1.0.0
1004,65,519,2014-11-22,0,1.0.0
1004,75,215,2017-05-31,0,1.0.0
1004,80,38,2015-02-23,1,1.0.0
1004,97,686,2018-03-31,0,1.0.0
1004,99,1061,2017-05-31,0,0.8.1
1005,12,1196,2008-12-28,1,2.6.1
1005,19,962,2013-06-20,0,1.0.0
1005,26,1490,2011-09-03,1,1.4.7
1005,37,1086,2014-10-31,0,1.0.0
1005,44,776,2011-09-03,1,1.0.0
1005,62,419,2013-06-20,0,1.0.0
1005,75,904,2014-10-31,0,0.2.8
1005,78,158,2015-10-23,0,1.1.6
1005,82,233,2015-10-23,0,1.0.0
1005,86,909,2013-06-20,0,1.3.7
1005,90,1007,2013-06-20,0,3.9.4
1006,1,334,2010-10-26,0,1.0.0
1006,2,1421,2010-01-17,0,1.5.5
1006,19,235,2010-03-25,0,1.0.0
1006,22,361,2010-01-17,0,1.0.0
1006,23,95,2014-01-04,1,1.0.0
1006,46,78,2016-08-20,0,1.0.0
1006,51,1181,2010-01-17,0,1.0.0
1006,54,1240,2015-10-20,0,1.0.0
1006,61,730,2014-01-04,0,1.0.0
1006,64,1489,2017-04-01,0,1.0.0
1006,73,30,2017-04-01,0,3.4.9
1006,80,931,2015-10-20,0,1.0.0
1006,88,189,2015-11-24,0,2.0.1
1006,101,564,2016-04-09,0,3.1.6
